notebook,prefix,cell_idx,fig_idx,filename,preceding_heading,code_hint
Final_Project_Portfolio_Optimization.ipynb,01_data,17,1,01_data_fig01.png,EDA,"# === Normalized price growth (all assets indexed to 100) === normalized = (prices / prices.iloc[0]) * 100 fig, ax = plt.subplots(figsize=(16, 7)) for ticker in normalized.columns: ax.plot(normalized."
Final_Project_Portfolio_Optimization.ipynb,01_data,19,2,01_data_fig02.png,EDA,"# === Risk-return scatter === fig, ax = plt.subplots(figsize=(11, 7)) sectors = summary['Sector'].unique() palette = plt.cm.get_cmap('tab10', len(sectors)) color_map = {s: palette(i) for i, s in enume"
Final_Project_Portfolio_Optimization.ipynb,01_data,20,3,01_data_fig03.png,EDA,"# === Correlation Heatmap === corr = returns.corr() fig, ax = plt.subplots(figsize=(16, 13)) mask = np.triu(np.ones_like(corr, dtype=bool)) sns.heatmap(corr, mask=mask, annot=True, fmt='.2f', cmap='Rd"
Final_Project_Portfolio_Optimization_LP.ipynb,02_lp,16,1,02_lp_fig01.png,Visualize: Allocation Bar Chart,"sector_list = sorted(set(TICKER_SECTOR.values())) palette = plt.cm.get_cmap('tab10', len(sector_list)) color_map = {s: palette(i) for i, s in enumerate(sector_list)} bar_colors = [color_map[TICKER_SEC"
Final_Project_Portfolio_Optimization_LP.ipynb,02_lp,18,2,02_lp_fig02.png,Visualize: Sector Allocation,"sector_alloc = alloc.groupby('Sector')['Weight (%)'].sum().sort_values(ascending=False) sector_colors = [color_map[s] for s in sector_alloc.index] fig, (ax1, ax2) = plt.subplots(1, 2, figsize=(14, 5))"
Final_Project_Portfolio_Optimization_LP.ipynb,02_lp,24,3,02_lp_fig03.png,Sensitivity Analysis: Position Cap,"w_max_range = [0.05, 0.08, 0.10, 0.12, 0.15, 0.20, 0.25, 0.33, 0.50, 1.00] sensitivity = [] for wm in w_max_range: r = solve_lp( train_returns = train_window, w_prev = w_prev_init, tickers = TICKERS, "
Final_Project_Portfolio_Optimization_LP.ipynb,02_lp,27,4,02_lp_fig04.png,Sensitivity Analysis: Sector Cap,"sector_cap_range = [0.20, 0.25, 0.30, 0.35, 0.40, 0.50, 0.60, 1.00] sector_sens = [] for sc in sector_cap_range: r = solve_lp( train_returns = train_window, w_prev = w_prev_init, tickers = TICKERS, ti"
Final_Project_Portfolio_Optimization_Walk_Forward.ipynb,03_wf,15,1,03_wf_fig01.png,Cumulative Performance: LP vs Equal-Weight,"fig, ax = plt.subplots(figsize=(15, 6)) ax.plot(monthly_df.index, monthly_df['lp_cum'], color='dodgerblue', linewidth=2.2, label='LP Portfolio') ax.plot(monthly_df.index, monthly_df['ew_cum'], color='"
Final_Project_Portfolio_Optimization_Walk_Forward.ipynb,03_wf,18,2,03_wf_fig02.png,Realized vs. Expected Return by Period,"fig, ax = plt.subplots(figsize=(15, 5)) x = periods_df.index ax.plot(x, periods_df['exp_return_ann'] * 100, 'b-o', linewidth=1.8, markersize=5, label='Expected Return (in-sample, ann %)') ax.plot(x, p"
Final_Project_Portfolio_Optimization_Walk_Forward.ipynb,03_wf,21,3,03_wf_fig03.png,LP vs Equal-Weight: Quarterly Return Comparison,"fig, ax = plt.subplots(figsize=(15, 5)) x = np.arange(len(periods_df)) width = 0.38 bars_lp = ax.bar(x - width/2, periods_df['realized_ret_total'] * 100, width, label='LP Portfolio', color='dodgerblue"
Final_Project_Portfolio_Optimization_Walk_Forward.ipynb,03_wf,24,4,03_wf_fig04.png,Turnover & Transaction Costs Over time,"fig, (ax1, ax2) = plt.subplots(2, 1, figsize=(14, 7), sharex=True) # Turnover ax1.bar(periods_df.index, periods_df['turnover'] * 100, color='steelblue', alpha=0.8) ax1.axhline(TURNOVER_MAX * 100, colo"
Final_Project_Portfolio_Optimization_Walk_Forward.ipynb,03_wf,27,5,03_wf_fig05.png,Portfolio Composition Over Time (Weight Heatmap),"mean_weights = weights_df.mean().sort_values(ascending=False) weights_plot = weights_df[mean_weights.index] * 100 fig, ax = plt.subplots(figsize=(16, 9)) sns.heatmap( weights_plot.T, cmap='YlOrRd', li"
Final_Project_Portfolio_Optimization_Walk_Forward.ipynb,03_wf,30,6,03_wf_fig06.png,Assets Held Over Time,"fig, ax = plt.subplots(figsize=(14, 4)) ax.plot(periods_df.index, periods_df['n_assets'], 'o-', color='purple', linewidth=2, markersize=6) ax.axhline(periods_df['n_assets'].mean(), color='purple', lin"
Final_Project_Portfolio_Optimization_Walk_Forward.ipynb,03_wf,32,7,03_wf_fig07.png,Drawdown Analysis,"def compute_drawdown(cum_series): """"""Compute drawdown series from a cumulative return series."""""" rolling_max = cum_series.cummax() drawdown = (cum_series - rolling_max) / rolling_max return drawdown l"
Monte_Carlo_Portfolio_Optimization.ipynb,04_mc,11,1,04_mc_fig01.png,Efficient frontier from the MC cloud,"fig, ax = plt.subplots(figsize=(11, 7)) sc = ax.scatter(mc_vols, mc_returns, c=mc_sharpes, cmap='viridis', s=4, alpha=0.4) ax.scatter(mc_vols[mc_min_vol_idx], mc_returns[mc_min_vol_idx], c='red', mark"
Monte_Carlo_Portfolio_Optimization.ipynb,04_mc,15,2,04_mc_fig02.png,Constrained mean-variance optimization,"fig, ax = plt.subplots(figsize=(11, 7)) sc = ax.scatter(mc_vols, mc_returns, c=mc_sharpes, cmap='viridis', s=4, alpha=0.3) ax.scatter(ms_vol, ms_ret, c='gold', marker='o', s=400, edgecolor='black', la"
Monte_Carlo_Portfolio_Optimization.ipynb,04_mc,20,3,04_mc_fig03.png,What the walk-forward optimizer actually held,"active_tickers = [t for t in ms_weights_oos.columns if ms_weights_oos[t].max() > 1e-3] ordered = sorted(active_tickers, key=lambda t: (sector_map[t], t)) plot_w = ms_weights_oos[ordered] sectors_in_pl"
Monte_Carlo_Portfolio_Optimization.ipynb,04_mc,22,4,04_mc_fig04.png,S&P 500 benchmark,import yfinance as yf print('Pulling SPY data from Yahoo Finance...') spy_start = ms_oos.index[0] - pd.DateOffset(months=2) spy_end = ms_oos.index[-1] + pd.DateOffset(months=1) spy_raw = yf.download([
Monte_Carlo_Portfolio_Optimization.ipynb,04_mc,25,5,04_mc_fig05.png,Uncertainty & stress simulations,"N_BOOT = 1000 HORIZON = 120 # 10-year horizon in months rng = np.random.default_rng(42) def bootstrap_paths(series, n_paths, horizon, rng): n_months = len(series) vals = series.values terminal = np.em"
Monte_Carlo_Portfolio_Optimization.ipynb,04_mc,27,6,04_mc_fig06.png,Uncertainty & stress simulations,"fig, axes = plt.subplots(1, 2, figsize=(13, 5)) axes[0].hist(ms_high_dist, bins=40, alpha=0.6, label='High-vol regime', color='crimson') axes[0].hist(ms_low_dist, bins=40, alpha=0.6, label='Low-vol re"
Monte_Carlo_Portfolio_Optimization.ipynb,04_mc,34,7,04_mc_fig07.png,Sensitivity analysis,"# Visualize the four sweeps on a common figure: OOS Sharpe vs each parameter, with the # baseline configuration highlighted. BASELINE = {'Position Cap': 0.10, 'Sector Cap': 0.30, 'Train Months': 36, '"
Monte_Carlo_Portfolio_Optimization.ipynb,04_mc,35,8,04_mc_fig08.png,Sensitivity analysis,# Tornado view: how much does OOS Sharpe move when each parameter is pushed to its # best/worst feasible setting (within the swept range)? Width = max - min Sharpe across the sweep. baseline_sharpe = 
